Index,HealthSystem,Name,Adr1,Adr2,City,State,ZipCode,Lat,Lng
3250,Ascension,Ascension Medical Group St. John Primary Care Sapulpa,1021 East Bryan Ave,,Sapulpa,OK,74066,35.9937,-96.0997
3251,Ascension,Ascension St. John Sapulpa,1004 East Bryan Ave,,Sapulpa,OK,74066,35.993,-96.1001
3252,Ascension,Ascension St. John Jane Phillips Wellness Connection,3500 SE Frank Phillips Blvd 9th floor,,Bartlesville,OK,74006,36.752,-95.9398
3253,Ascension,Ascension Medical Group St. John Primary Care Bartlesville Suite 300,3450 Southeast Frank Phillips Blvd #300,,Bartlesville,OK,74006,36.7509,-95.9398
3254,Ascension,Ascension St. John Jane Phillips Behavioral Services,3500 SE Frank Phillips Blvd 3rd Floor,,Bartlesville,OK,74006,36.752,-95.9398
3255,Ascension,Ascension St. John Health for Life Fitness Center,2011 N. Penn,,Independence,KS,67301,37.2459,-95.7069
3256,Ascension,Ascension St. John Nowata,237 South Locust St,,Nowata,OK,74048,36.6966,-95.6303
3257,Ascension,Ascension Medical Group St. John Jenks,220 South Elm St #200,,Jenks,OK,74037,36.0206,-95.9768
3258,Ascension,Ascension Medical Group St. John Heart and Vascular Center Owasso,12455 East 100th Street North #260,,Owasso,OK,74055,36.2991,-95.8355
3259,Ascension,Ascension Medical Group St. John Sand Springs,402 West Morrow Rd,,Sand Springs,OK,74063,36.1332,-96.1171
3260,Ascension,Ascension Medical Group St. John Pediatric & Adolescent Medicine,1919 South Wheeling Ave #304,,Tulsa,OK,74104,36.1344,-95.9644
3261,Ascension,Ascension Medical Group St. John South Harvard,4720 South Harvard Ave #100,,Tulsa,OK,74135,36.0948,-95.9409
3262,Ascension,Ascension St. John Medical Center,1923 South Utica Ave,,Tulsa,OK,74104,36.1336,-95.9656
3263,Ascension,Ascension Medical Group St. John Primary Care Bartlesville Suite 501,3400 East Frank Phillips Blvd #501,,Bartlesville,OK,74006,36.7524,-95.9411
3264,Ascension,Ascension St. John Medical Center Birthing Center,1923 South Utica Ave. 6th floor,,Tulsa,OK,74104,36.1336,-95.9656
3265,Ascension,Ascension Medical Group St. John Primary Care Bartlesville Suite 702,3400 Southeast Frank Phillips Blvd #702,,Bartlesville,OK,74006,36.7507,-95.941
3266,Ascension,Ascension St. John Physical Therapy at Owasso YMCA,8300 North Owasso Expy,,Owasso,OK,74055,36.2735,-95.849
3267,Ascension,Ascension Medical Group St. John Primary Care Owasso 86th,13600 East 86th Street North #100,,Owasso,OK,74055,36.2777,-95.8238
3268,Ascension,Ascension Medical Group St. John Primary Care Bernsen Suite 200,1919 South Wheeling Ave #200,,Tulsa,OK,74104,36.1344,-95.9644
3269,Ascension,Ascension St. John Jane Phillips Outpatient Surgery Center,230 SE Howard Ave,,Bartlesville,OK,74006,36.7538,-95.9392
3270,Ascension,Ascension Medical Group St. John Primary Care Bernsen Suite 404,1919 South Wheeling Ave #404,,Tulsa,OK,74104,36.1344,-95.9644
3271,Ascension,Ascension St. John Jane Phillips Inpatient Rehabilitation Unit,3500 SE Frank Phillips Blvd 3rd Floor,,Bartlesville,OK,74006,36.752,-95.9398
3272,Ascension,Ascension St. John Urgent Care Sand Springs,402 West Morrow Rd,,Sand Springs,OK,74063,36.1332,-96.1171
3273,Ascension,Ascension Medical Group St. John Colon & Rectal Surgery,1705 East 19th St #502,,Tulsa,OK,74104,36.1354,-95.9668
3274,Ascension,Ascension St. John Chapman Outpatient Rehabilitation,1819 E. 19th St. 4th floor,,Tulsa,OK,74104,36.1356,-95.9656
3275,Ascension,Ascension Medical Group St. John Pulmonology Bartlesville,3400 Southeast Frank Phillips Blvd #601,,Bartlesville,OK,74006,36.7507,-95.941
3276,Ascension,Ascension St. John Urgent Care Bartlesville,3550 East Frank Phillips Blvd,,Bartlesville,OK,74006,36.7519,-95.9395
3277,Ascension,Ascension Medical Group St. John Urology Bartlesville,3400 Southeast Frank Phillips Blvd #603,,Bartlesville,OK,74006,36.7507,-95.941
3278,Ascension,Ascension Medical Group St. John Womens Health East,12929 East 21st St G,,Tulsa,OK,74134,36.1339,-95.8311
3279,Ascension,Ascension Medical Group St. John Kenosha,5050 East Kenosha St,,Broken Arrow,OK,74014,36.0615,-95.7274
3280,Ascension,Ascension Medical Group St. John ENT and Head & Neck Surgery,2000 South Wheeling Ave #900,,Tulsa,OK,74104,36.1336,-95.9648
3281,Ascension,Ascension Medical Group St. John Primary Care Bartlesville Suite 200,3450 East Frank Phillips Blvd #200,,Bartlesville,OK,74006,36.7521,-95.9411
3282,Ascension,Ascension Medical Group St. John General Surgery Bartlesville,224 Southeast De Bell Ave,,Bartlesville,OK,74006,36.7543,-95.9373
3283,Ascension,Ascension Medical Group St. John Peoria,5780 South Peoria Ave,,Tulsa,OK,74105,36.0791,-95.9764
3284,Ascension,Ascension St. John Jane Phillips Sleep Center,2661 SE Washington Blvd,,Bartlesville,OK,74006,36.7087,-95.9359
3285,Ascension,Ascension Medical Group St. John Gastroenterology Bartlesville,3400 Southeast Frank Phillips Blvd #700,,Bartlesville,OK,74006,36.7507,-95.941
3286,Ascension,Ascension Medical Group St. John Neurosurgery,2000 South Wheeling Ave #200,,Tulsa,OK,74104,36.1336,-95.9648
3287,Ascension,Ascension Medical Group St. John General Surgery Broken Arrow,800 West Boise Cir #250,,Broken Arrow,OK,74012,36.078,-95.8007
3288,Ascension,Ascension Medical Group St. John Primary Care Bartlesville Suite 400,3450 East Frank Phillips Blvd #400,,Bartlesville,OK,74006,36.7521,-95.9411
3289,Ascension,Ascension Medical Group St. John Coffeyville,1501 West 11th St Suite C,,Coffeyville,KS,67337,37.033,-95.6401
3290,Ascension,Ascension Medical Group St. John Pulmonology,1725 East 19th St #200,,Tulsa,OK,74104,36.1353,-95.9662
3291,Ascension,Ascension Medical Group St. John Okmulgee,1200 South Belmont Ave,,Okmulgee,OK,74447,35.6123,-95.9531
3292,Ascension,Ascension St. John Healthy Lifestyles,1819 E. 19th St. 1st floor,,Tulsa,OK,74104,36.1356,-95.9656
3293,Ascension,Ascension St. John Clinical Research,1725 E. 19th. St. Suite 701,,Tulsa,OK,74104,36.1353,-95.9662
3294,Ascension,Ascension St. John Urgent Care Utica,1717 South Utica Ave A,,Tulsa,OK,74104,36.1375,-95.9667
3295,Ascension,Ascension St. John Siegfried Health Club,1819 E. 19th St,,Tulsa,OK,74104,36.1356,-95.9656
3296,Ascension,Ascension St. John Professional Pharmacy,1919 S. Wheeling Ave. Suite 106,,Tulsa,OK,74104,36.1344,-95.9644
3297,Ascension,Ascension Medical Group St. John Primary Care Bernsen Lower Level,1919 South Wheeling Ave Lower Level,,Tulsa,OK,74104,36.1344,-95.9644
3298,Ascension,Ascension St. John Jane Phillips Diabetes & Nutrition Education Center,3400 SE Frank Phillips Blvd. Suite 200,,Bartlesville,OK,74006,36.7524,-95.941
3299,Ascension,Ascension St. John Owasso Birthing Center,12451 East 100th St. N. 4th floor,,Owasso,OK,74055,36.2992,-95.8351
3300,Ascension,Ascension St. John Jane Phillips Imaging Center,2661 SE Washington Blvd,,Bartlesville,OK,74006,36.7087,-95.9359
3301,Ascension,Ascension St. John Jane Phillips Imaging Services,"3500 SE Frank Phillips Blvd., 2nd floor",,Bartlesville,OK,74006,36.752,-95.9398
3302,Ascension,Ascension Jane Phillips Birthing Center,3500 Southeast Frank Phillips Blvd 1st Floor,,Bartlesville,OK,74006,36.752,-95.9398
3303,Ascension,Ascension St. John Jane Phillips Family Services,3500 SE Frank Phillips Blvd 1st floor,,Bartlesville,OK,74006,36.752,-95.9398
3304,Ascension,Ascension St. John Jane Phillips MedCare Pharmacy,3500 SE Frank Phillips Blvd 1st floor lobby,,Bartlesville,OK,74006,36.752,-95.9398
3305,Ascension,Ascension Medical Group St. John Neurosurgery Owasso,12455 East 100th Street North #270,,Owasso,OK,74055,36.2991,-95.8355
3306,Ascension,Ascension Medical Group St. John Neurosurgery Bartlesville,224 Southeast DeBell Ave,,Bartlesville,OK,74006,36.7596,-95.9372
3307,Ascension,Ascension St. John Jane Phillips,3500 Southeast Frank Phillips Blvd,,Bartlesville,OK,74006,36.752,-95.9399
3308,Ascension,Ascension St. John Owasso Emergency Room,12451 East 100th St. N.,,Owasso,OK,74055,36.2992,-95.8351
3309,Ascension,Ascension St. John Owasso,12451 East 100th Street North,,Owasso,OK,74055,36.2982,-95.834
3310,Ascension,Ascension St. John Center for Women's Health,1923 S. Utica Ave. 6th floor,,Tulsa,OK,74104,36.1336,-95.9656
3311,Ascension,Ascension Medical Group St. John Pawhuska,701 Leahy Ave,,Pawhuska,OK,74056,36.6653,-96.3375
3312,Ascension,Ascension Medical Group St. John Women's Health Bartlesville Suite 401,3400 East Frank Phillips Blvd #501,,Bartlesville,OK,74006,36.7524,-95.9411
3313,Ascension,Ascension Medical Group St. John Primary Care Bernsen Suite 402,1919 South Wheeling Ave #402,,Tulsa,OK,74104,36.1344,-95.9644
3314,Ascension,"Ascension Medical Group St. John Ear, Nose & Throat",205 SE Howard Ave,,Bartlesville,OK,74006,36.7548,-95.9402
3315,Ascension,Ascension St. John Jane Phillips Emergency Room,3500 SE Frank Phillips Blvd,,Bartlesville,OK,74006,36.752,-95.9398
3316,Ascension,Ascension Medical Group St. John Heart and Vascular Center Sapulpa,414 South Mission St,,Sapulpa,OK,74066,35.9938,-96.0991
3317,Ascension,Ascension St. John Wound Center Jane Phillips,222 SE DeBell Ave,,Bartlesville,OK,74006,36.7596,-95.9372
3318,Ascension,Ascension St. John Broken Arrow Emergency Room,1000 West Boise Cir,,Broken Arrow,OK,74012,36.078,-95.8007
3319,Ascension,Ascension St. John Breast Center,1923 South Utica Ave,,Tulsa,OK,74104,36.1336,-95.9656
3320,Ascension,Ascension St. John Urgent Care Bixby,7333 East 121st Street South #100,,Bixby,OK,74008,35.9889,-95.8929
3321,Ascension,Ascension St. John Jane Phillips Physical Medicine Center,3550 Southeast Frank Phillips Blvd,,Bartlesville,OK,74006,36.7507,-95.9381
3322,Ascension,Ascension Medical Group St. John Bixby,7333 East 121st Street South #201,,Bixby,OK,74008,35.9889,-95.8929
3323,Ascension,Ascension Medical Group St. John University Village,8555 South Lewis Ave,,Tulsa,OK,74137,36.0408,-95.9556
3324,Ascension,Ascension St. John Center for Joint Replacement,1000 W. Boise Circle 5th floor,,Broken Arrow,OK,74012,36.078,-95.8007
3325,Ascension,Ascension St. John Jane Phillips Pain Management,3500 SE Frank Phillips Blvd 1st floor,,Bartlesville,OK,74006,36.752,-95.9398
3326,Ascension,Ascension Medical Group St. John Neurology & Stroke Care,2000 South Wheeling Ave #701,,Tulsa,OK,74104,36.1336,-95.9648
3327,Ascension,Ascension St. John Senior Life Solutions Program,1004 East Bryan Ave,,Sapulpa,OK,74066,35.993,-96.1001
3328,Ascension,Ascension Medical Group St. John Primary Care Broken Arrow,800 West Boise Cir #160,,Broken Arrow,OK,74012,36.078,-95.8007
3329,Ascension,Ascension Medical Group St. John ENT and Head & Neck Surgery Broken Arrow,800 West Boise Cir #320,,Broken Arrow,OK,74012,36.078,-95.8007
3330,Ascension,Ascension Medical Group St. John Claremore,1910 South Falcon Ave,,Claremore,OK,74019,36.2896,-95.6294
3331,Ascension,Ascension St. John Physical Therapy & Sports Rehabilitation,800 W. Boise Circle Suite 260,,Broken Arrow,OK,74012,36.0778,-95.8007
3332,Ascension,Ascension St. John Endoscopy,1923 S. Utica Ave. 7th floor,,Tulsa,OK,74104,36.1336,-95.9656
3333,Ascension,Ascension Medical Group St. John Heart and Vascular Center Broken Arrow,800 West Boise Cir #120,,Broken Arrow,OK,74012,36.078,-95.8007
3334,Ascension,Ascension Medical Group St. John Primary Care Owasso,12455 East 100th Street North #350,,Owasso,OK,74055,36.2991,-95.8355
3335,Ascension,Ascension Medical Group St. John Caney,218 West 4th Ave,,Caney,KS,67333,37.0117,-95.9364
3336,Ascension,Ascension Medical Group St. John Pain Management,8131 South Memorial Dr #100,,Tulsa,OK,74133,36.0452,-95.8846
3337,Ascension,Ascension Medical Group St. John Independence,800 West Laurel St,,Independence,KS,67301,37.2256,-95.7168
3338,Ascension,Ascension St. John Urgent Care Jenks,220 S. Elm Suite 100,,Jenks,OK,74037,36.0206,-95.9768
3339,Ascension,Ascension Medical Group St. John Pediatric Surgery,1919 South Wheeling Ave #606,,Tulsa,OK,74104,36.1344,-95.9644
3340,Ascension,Ascension St. John Urgent Care South Memorial,8131 South Memorial Dr,,Tulsa,OK,74133,36.0452,-95.8846
3341,Ascension,Ascension St. John Medical Center Emergency Room,1923 S. Utica Ave.,,Tulsa,OK,74104,36.1336,-95.9656
3342,Ascension,Ascension Medical Group St. John South Memorial,8115 South Memorial Dr,,Tulsa,OK,74133,36.0457,-95.8853
3343,Ascension,Ascension Medical Group St. John Plastic Surgery,2000 South Wheeling Ave #100,,Tulsa,OK,74104,36.1336,-95.9648
3344,Ascension,Ascension St. John Jane Phillips Cardiac and Pulmonary Rehabilitation,3500 Southeast Frank Phillips Blvd,,Bartlesville,OK,74006,36.752,-95.9398
3345,Ascension,Ascension St. John Pediatric Intensive Care Unit,1923 S. Utica Ave. 7th floor,,Tulsa,OK,74104,36.1336,-95.9656
3346,Ascension,Ascension St. John Outpatient Radiology,8131 S. Memorial Drive #105,,Tulsa,OK,74133,36.045,-95.8848
3347,Ascension,Seton Heart Institute - Ascension Seton Edgar B. Davis,130 Hays St Suite B,,Luling,TX,78648,29.6731,-97.6547
3348,Ascension,Seton Brain & Spine Institute Neurology-Clinical Education Center,1400 North Interstate Highway 35 #300,,Austin,TX,78701,30.2737,-97.7327
3349,Ascension,Austin Chest Associates - Cedar Park,1301 Medical Pkwy #200,,Cedar Park,TX,78613,30.5325,-97.8156
3350,Ascension,RediClinic Dripping Springs,598 U.S. 290,,Dripping Springs,TX,78620,30.191,-98.0807
3351,Ascension,Ascension Seton Dermatology - Buda,5235 Overpass Road #200,,Buda,TX,78610,30.0781,-97.8196
3352,Ascension,Dell Seton Medical Center at The University of Texas,1500 Red River St,,Austin,TX,78701,30.2766,-97.734
3353,Ascension,Seton Brain & Spine Institute Neurosurgery at 1601 Trinity,1601 Trinity St Suite 704-F,,Austin,TX,78701,30.2772,-97.735
3354,Ascension,Strictly Pediatrics Subspecialty Center,1301 Barbara Jordan Blvd #301,,Austin,TX,78723,30.3053,-97.707
3355,Ascension,Specially for Children - College Station,1602 Rock Prairie Rd #1100,,College Station,TX,77845,30.5813,-96.2896
3356,Ascension,Seton Family of Doctors at Bastrop - Seton Health Plaza,441 Texas 71 Suite C,,Bastrop,TX,78602,30.1038,-97.2907
3357,Ascension,Seton Family of Doctors at Chisolm Trail,1 Chisholm Trail #4100,,Round Rock,TX,78681,30.514,-97.6883
3358,Ascension,Seton Family of Doctors at Luling,130 Hays St Suite A,,Luling,TX,78648,29.6731,-97.6547
3359,Ascension,Seton Family of Doctors at Smithville,1201 Hill Rd,,Smithville,TX,78957,30.004,-97.136
3360,Ascension,Ascension Clinical Education Center,1400 North Interstate Highway 35,,Austin,TX,78701,30.2737,-97.7327
3361,Ascension,Seton Brain & Spine Institute Neurology,1600 West 38th St #200,,Austin,TX,78731,30.3092,-97.7498
3362,Ascension,Dell Children's Pediatric Acute Inpatient Rehabilitation Unit,4900 Mueller Blvd,,Austin,TX,78723,30.3035,-97.7073
3363,Ascension,Ascension Seton Cardiac Rehabilitation Services - Harker Heights,800 West Central Texas Expy #310,,Harker Heights,TX,76548,31.0725,-97.6817
3364,Ascension,Dell Children's Medical Center of Central Texas,4900 Mueller Blvd,,Austin,TX,78723,30.3035,-97.7074
3365,Ascension,Dell Seton Medical Center at The University of Texas - Outpatient Wound Care Clinic Adult,1400 North Interstate 35,,Austin,TX,78701,30.3074,-97.7486
3366,Ascension,Seton Cancer Survivor Center,1301 West 38th St #113,,Austin,TX,78705,30.3053,-97.7467
3367,Ascension,Texas Child Study Center at Dell Childrens Medical Center,4900 Mueller Blvd,,Austin,TX,78723,30.3035,-97.7073
3368,Ascension,Ascension Seton Cardiac Rehabilitation Program - Kyle,1180 Seton Pkwy #100,,Kyle,TX,78640,30.0098,-97.852
3369,Ascension,Seton Heart Institute - Wimberley Medical Clinic,9670 Ranch Road 12,,Wimberley,TX,78676,29.9437,-98.0917
3370,Ascension,Seton Family of Doctors Seton Institute of Reconstructive Plastic Surgery at 5301 Davis Ln,5301 Davis Ln #200,,Austin,TX,78749,30.208,-97.8633
3371,Ascension,Seton Heart Institute - Lampasas Health Center,1205 Central Texas Expressway,,Lampasas,TX,76550,31.0598,-98.1685
3372,Ascension,Seton Heart Institute - Cedar Park Medical Plaza,1401 Medical Pkwy Bldg B Suite 320,,Cedar Park,TX,78613,30.5321,-97.8117
3373,Ascension,Seton Family of Doctors Seton Surgical Group at 301 Seton Pkwy,301 Seton Pkwy #402,,Round Rock,TX,78665,30.5658,-97.6494
3374,Ascension,Ascension Seton Highland Lakes,3201 South Water St,,Burnet,TX,78611,30.7331,-98.2368
3375,Ascension,Seton Brain & Spine Institute,6811 Austin Center Blvd #420,,Austin,TX,78731,30.3507,-97.7504
3376,Ascension,Ascension Seton Mind Institute,1301 West 38th St #700,,Austin,TX,78705,30.3053,-97.7467
3377,Ascension,Seton Orthopedic & Sports Medicine - Hays,1180 Seton Pkwy #220,,Kyle,TX,78640,30.0098,-97.852
3378,Ascension,Seton Tobacco Education Resource Center,"5555 North Lamar Blvd Building D, Suite 125",,Austin,TX,78751,30.3233,-97.726
3379,Ascension,"Carl C. Anderson, Sr. and Marie Jo Anderson Outpatient Rehabilitation Center",4900 Mueller Blvd,,Austin,TX,78723,30.3035,-97.7074
3380,Ascension,Seton Brain & Spine Institute Neurology at 11113 Research Blvd,11113 Research Blvd #395,,Austin,TX,78759,30.4054,-97.7438
3381,Ascension,Ascension Seton Behavioral Health at 100 W. Dean Keeton Street,100 West Dean Keeton St,,Austin,TX,78712,30.29,-97.7384
3382,Ascension,Ascension Seton Behavioral Health at 5407 Clay Avenue,5407 Clay Ave,,Austin,TX,78756,30.3282,-97.7389
3383,Ascension,Ascension Seton Behavioral Health at 301 Seton Pkwy,301 Seton Pkwy #103,,Round Rock,TX,78665,30.5658,-97.6494
3384,Ascension,Ascension Seton Highland Lakes Marble Falls Healthcare Center,1800 Mormon Mill Rd Suite B,,Marble Falls,TX,78654,30.5867,-98.2699
3385,Ascension,Seton Heart Institute - ARC Wilson Parke,11714 Wilson Parke Avenue #150,,Austin,TX,78726,30.418,-97.8521
3386,Ascension,Seton Family of Doctors Plus Express Care at Westlake,701 South Capital of Texas Hwy Suite Q900,,Austin,TX,78746,30.2921,-97.826
3387,Ascension,University Physicians Group Kyle,5103 Kyle Center Dr #108,,Kyle,TX,78640,30.0141,-97.8645
3388,Ascension,University of Texas Physicians Downtown Austin,313 East 12th St,,Austin,TX,78701,30.2727,-97.7377
3389,Ascension,Ascension Seton Outpatient Rehabilitation Services Central,3724 Executive Center Dr G10,,Austin,TX,78731,30.363,-97.7495
3390,Ascension,Audiology Clinic - Dell Children's Medical Center,4900 Mueller Blvd 2nd Floor,,Austin,TX,78723,30.3035,-97.7073
3391,Ascension,Dell Children's Rehabilitation Center - Cedar Park,1101 Arrow Point Dr Bldg 1 Suite 105,,Cedar Park,TX,78613,30.5312,-97.8017
3392,Ascension,Austin Pediatric Surgery - Austin,1301 Barbara Jordan Blvd #400,,Austin,TX,78723,30.3053,-97.707
3393,Ascension,Austin Pediatric Surgery - Cedar Park,1301 Medical Pkwy #340,,Cedar Park,TX,78613,30.5325,-97.8156
3394,Ascension,RediClinic Brodie,6900 Brodie Ln,,Austin,TX,78745,30.2164,-97.8308
3395,Ascension,RediClinic Cedar Park,170 East Whitestone Blvd,,Cedar Park,TX,78613,30.5216,-97.829
3396,Ascension,Cystic Fibrosis Care Center,4900 Mueller Blvd 2nd Floor,,Austin,TX,78723,30.3035,-97.7073
3397,Ascension,Craniofacial and Reconstructive Plastic Surgery Center,1301 Barbara Jordan Blvd #301,,Austin,TX,78723,30.3053,-97.707
3398,Ascension,RediClinic Leander,651 U.S. 183,,Leander,TX,78641,30.5842,-97.8572
3399,Ascension,Ascension Medical Group Seton Women's Health - Williamson,301 Seton Parkway #407,,Round Rock,TX,78665,30.5658,-97.6494
3400,Ascension,Cast Clinic - Dell Children's Medical Center,4900 Mueller Blvd 2nd Floor,,Austin,TX,78723,30.3035,-97.7073
3401,Ascension,Seton Brain & Spine Institute Neurosurgery- Williamson,301 Seton Pkwy #402,,Round Rock,TX,78665,30.5658,-97.6494
3402,Ascension,RediClinic Round Rock 5,250 University Blvd,,Round Rock,TX,78665,30.5606,-97.6883
3403,Ascension,Specially For Children,1301 Barbara Jordan Blvd #200,,Austin,TX,78723,30.3053,-97.707
3404,Ascension,Seton Brain & Spine Institute Physical Medicine & Rehabilitation at 1600 West 38th St,1600 West 38th St #312,,Austin,TX,78731,30.3092,-97.7498
3405,Ascension,Ascension Medical Group Georgetown,3721 Williams Dr,,Georgetown,TX,78628,30.671,-97.6979
3406,Ascension,Specially for Children - APS,6811 Austin Center Blvd #400,,Austin,TX,78731,30.3507,-97.7504
3407,Ascension,Specially for Children,5339 North Interstate Highway 35 #100,,Austin,TX,78723,30.3131,-97.7084
3408,Ascension,Children's Health Express Mobile Clinic,4900 Mueller Blvd,,Austin,TX,78723,30.3035,-97.7073
3409,Ascension,Ascension Seton Health Center - Buda,5235 Overpass Rd,,Buda,TX,78610,30.0781,-97.8196
3410,Ascension,Seton Family of Doctors at Hays Hematology/Oncology Clinic,1180 Seton Pkwy,,Kyle,TX,78640,30.0098,-97.852
3411,Ascension,Seton Family of Doctors at Lockhart,300 South Commerce St Suite B,,Lockhart,TX,78644,29.8829,-97.6705
3412,Ascension,Seton Family of Doctors at Williamson,2051 Gattis School Rd #250,,Round Rock,TX,78664,30.4956,-97.6542
3413,Ascension,Specially for Children - Kyle,5103 Kyle Center Dr #104,,Kyle,TX,78640,30.0141,-97.8645
3414,Ascension,Seton Brain & Spine Institute - Kyle,"5103 Kyle Center Dr Suite 103, 104",,Kyle,TX,78640,30.0141,-97.8645
3415,Ascension,Seton Family of Doctors at Stone Hill,1512 Town Center Dr #100,,Pflugerville,TX,78660,30.4664,-97.599
3416,Ascension,Seton Family of Doctors at Lockhart,209 South Church St B,,Lockhart,TX,78644,29.883,-97.6733
3417,Ascension,Dell Children's Medical Center - Inpatient Diabetes Services,4900 Mueller Blvd,,Austin,TX,78723,30.3035,-97.7073
3418,Ascension,Seton Family of Doctors Plus Express Care at Davis Lane,5301-B Davis Lane Suite 100,,Austin,TX,78749,30.208,-97.8633
3419,Ascension,Kyle Parkway OB/Gyn Associates,1180 Seton Pkwy #340,,Kyle,TX,78640,30.0098,-97.852
3420,Ascension,Kyle Parkway OB/Gyn Associates - Luling,130 Hays St. #D,,Luling,TX,78648,29.6731,-97.6547
3421,Ascension,Dell Children's Medical Group Pulmonary Department,201 University Oaks Blvd #1260,,Round Rock,TX,78665,30.5555,-97.6874
3422,Ascension,Kyle Parkway OB/Gyn Associates - Lockhart,209 South Church St Suite A,,Lockhart,TX,78644,29.8831,-97.6733
3423,Ascension,Ascension Seton Heart Specialty Care and Transplant Center,1301 West 38th St #500,,Austin,TX,78705,30.3053,-97.7467
3424,Ascension,Ascension Seton Cardiac Rehabilitation Services - Round Rock,201 Seton Pkwy,,Round Rock,TX,78665,30.5671,-97.6513
3425,Ascension,Seton Heart Institute - WellMed San Marcos,12901 Wonder World Dr,,San Marcos,TX,78666,29.8564,-97.9524
3426,Ascension,Ascension Seton Lockhart Family Healthcare Center,"300 South Colorado St Suite A,B,C,D",,Lockhart,TX,78644,29.8829,-97.6693
3427,Ascension,Marnie Paul Specialty Care Center Outpatient Services,4900 Mueller Blvd 2nd Floor,,Austin,TX,78723,30.3035,-97.7073
3428,Ascension,Seton Brain & Spine Institute,1600 West 38th Street Ste. 308,,Austin,TX,78731,30.3092,-97.752
3429,Ascension,Seton Brain & Spine Institute - Seton Northwest,11111 Research Blvd #395,,Austin,TX,78759,30.4053,-97.7438
3430,Ascension,Seton Family of Doctors Seton Institute of Reconstructive Plastic Surgery,1601 Trinity St University of Texas at Austin Health Transformation Building Ste 704,,Austin,TX,78712,30.2772,-97.7351
3431,Ascension,Seton Heart Institute - Medical Center South,4207 James Casey St #215,,Austin,TX,78745,30.2247,-97.7737
3432,Ascension,Pediatric Neuropsychology Clinic,1600 West 38th St #200,,Austin,TX,78731,30.3092,-97.7498
3433,Ascension,RediClinic Anderson Mill HEB,11521 North FM 620,,Austin,TX,78726,30.4534,-97.8263
3434,Ascension,Ascension Seton Lampasas Health Center,1205 Plum St,,Lampasas,TX,76550,31.0598,-98.1685
3435,Ascension,Seton Family of Doctors Seton Institute of Reconstructive Plastic Surgery at 301 Seton Parkway,301 Seton Pkwy #402,,Round Rock,TX,78665,30.5658,-97.6494
3436,Ascension,Ascension Seton Medical Center Austin - Birthing Center,1201 West 38th St,,Austin,TX,78705,30.3056,-97.7453
3437,Ascension,Ascension Seton Cardiac and Pulmonology - Burnet,200 John W. Hoover Pkwy,,Burnet,TX,78611,30.7457,-98.2192
3438,Ascension,Ascension Seton Cardiac Rehabilitation Services - Southwest,7900 Farm to Market Road 1826,,Austin,TX,78737,30.2268,-97.8915
3439,Ascension,Seton Heart Institute - Seton Health Plaza 1,441 Highway 71 W. Suite C,,Bastrop,TX,78602,30.1038,-97.2907
3440,Ascension,Seton Family of Doctors at Jollyville,11671 Jollyville Rd #102,,Austin,TX,78759,30.4182,-97.7503
3441,Ascension,Texas Center for Pediatric and Congenital Heart Disease at Dell Children's Medical Center,"4900 Mueller Blvd 2nd Floor, Marnie Paul Specialty Care Center",,Austin,TX,78723,30.3035,-97.7073
3442,Ascension,Seton Medical Center Austin Sports and Neuro Rehab,"5555 North Lamar Blvd Building E, Suite 103",,Austin,TX,78751,30.3233,-97.726
3443,Ascension,Ascension Seton Cardiac Rehabilitation Services - Medical Tower,1301 West 38th St #510,,Austin,TX,78705,30.3053,-97.7467
3444,Ascension,Seton Outpatient Rehabilitation Services - Pflugerville,200 North Heatherwilde Blvd,,Pflugerville,TX,78660,30.4492,-97.64
3445,Ascension,Seton Orthopedic & Sports Medicine,209 South Church St Suite A,,Lockhart,TX,78644,29.8831,-97.6733
3446,Ascension,Seton Northwest Health Plaza,11111 Research Blvd,,Austin,TX,78759,30.4054,-97.7438
3447,Ascension,Seton Outpatient Rehabilitation Services - Round Rock,301 Seton Pkwy #301,,Round Rock,TX,78665,30.5658,-97.6494
3448,Ascension,Seton Outpatient Rehabilitation Services - South,"5301 Davis Ln Bldg B, Suite 200",,Austin,TX,78749,30.2082,-97.8632
3449,Ascension,Simply Safety at Dell Children's,1301 Barbara Jordan Blvd Suite 400,,Austin,TX,78723,30.3053,-97.707
3450,Ascension,Seton Spine & Scoliosis Center,1600 West 38th St #200,,Austin,TX,78731,30.3092,-97.7498
3451,Ascension,Ascension Seton Smithville,1201 Hill Rd,,Smithville,TX,78957,30.004,-97.136
3452,Ascension,Ascension Seton Shoal Creek,3501 Mills Ave,,Austin,TX,78731,30.3061,-97.7484
3453,Ascension,Seton Spine & Scoliosis Center,"5103 Kyle Center Dr Suite 103, 104",,Kyle,TX,78640,30.0141,-97.8645
3454,Ascension,Seton Spine & Scoliosis Center,301 Seton Pkwy #402,,Round Rock,TX,78665,30.5658,-97.6495
3455,Ascension,Seton Palliative Care,1201 West 38th St,,Austin,TX,78705,30.3056,-97.7453
3456,Ascension,University Physicians Group Midtown,911 West 38th St,,Austin,TX,78705,30.3048,-97.743
3457,Ascension,Dell Childrenâ€™s Sleep Lab,4900 Mueller Blvd,,Austin,TX,78723,30.3035,-97.7074
