HealthSystem,Name,Adr1,Adr2,City,State,ZipCode,Phone,Lat,Lng
Ascension,Ascension Columbia St. Mary's Milwaukee - River Woods Parkway,375 W. River Woods Parkway,,Glendale,WI,53212,414-326-1800,43.0972,-87.9112
Ascension,Ascension Columbia St. Maryâ€™s Milwaukee - River Woods Parkway Urgent Care,375 W River Woods Pkwy,,Glendale,FL,53212,414-326-1500,43.0972,-87.9112
Ascension,Ascension Eagle River Hospital,201 East Hospital Rd,,Eagle River,WI,54521,715-479-7411,45.928,-89.251
Ascension,Ascension All Saints Hospital - Spring Street Campus,3801 Spring St,,Racine,WI,53405,262-687-4011,42.7318,-87.8265
Ascension,Ascension Calumet Hospital,614 Memorial Dr,,Chilton,WI,53014,800-458-4042,44.0253,-88.1536
Ascension,Ascension Columbia St. Mary's Milwaukee - Gateway,801 South 70th St,,West Allis,WI,53214,414-773-6600,43.0238,-88.0013
Ascension,Ascension Columbia St. Mary's Hospital Ozaukee,13111 North Port Washington Rd,,Mequon,WI,53097,262-243-7300,43.2566,-87.9262
Ascension,Ascension Our Lady of Victory Hospital,1120 Pine St,,Stanley,WI,54768,800-643-0554,44.9535,-90.9189
Ascension,Ascension Sacred Heart Hospital,401 West Mohawk Dr,,Tomahawk,WI,54487,715-453-7700,45.4864,-89.7339
Ascension,Ascension Medical Group - Westwood,1901 Westwood Center Blvd,,Wausau,WI,54401,715-355-9775,44.9696,-89.6597
Ascension,Ascension NE Wisconsin - Mercy Campus,500 South Oakwood Rd,,Oshkosh,WI,54904,920-223-2000,44.0129,-88.6005
Ascension,Ascension SE Wisconsin - Mayfair Road,201 North Mayfair Rd,,Wauwatosa,WI,53226,414-259-7200,43.0328,-88.0483
Ascension,Ascension SE Wisconsin - Brown Deer,9252 North Green Bay Rd 2nd Floor,,Brown Deer,WI,53209,414-270-8150,43.1858,-87.96
Ascension,Ascension Medical Group - Marsho Clinic,1703 North Taylor Dr,,Sheboygan,WI,53081,920-457-4438,43.7636,-87.7489
Ascension,Ascension St. Mary's Hospital,2251 North Shore Dr,,Rhinelander,WI,54501,715-361-2000,45.6396,-89.3745
Ascension,Ascension St. Michael's - Illinois Avenue,824 Illinois Ave,,Stevens Point,WI,54481,715-342-7725,44.5269,-89.5672
Ascension,Ascension St. Michael's - Prentice Street,201 Prentice Street North,,Stevens Point,WI,54481,715-345-0711,44.5358,-89.5774
Ascension,Ascension St. Michael's - Hoover Road,3500 Hoover Rd,,Stevens Point,WI,54481,715-342-7900,44.4979,-89.5295
Ascension,Ascension SE Wisconsin Hospital - St. Joseph Campus,5000 West Chambers St,,Milwaukee,WI,53210,414-447-2000,43.0744,-87.9765
Ascension,Ascension Borgess Allegan Hospital,555 Linn St,,Allegan,MI,49010,269-673-8424,42.5196,-85.8564
Ascension,Ascension Borgess-Lee Hospital,420 West High St,,Dowagiac,MI,49047,269-782-8681,41.9829,-86.1157
Ascension,Ascension Borgess Hospital,1521 Gull Rd,,Kalamazoo,MI,49048,269-226-7000,42.3072,-85.5615
Ascension,Howard Young Medical Center,240 Maple St,,Woodruff,WI,54568,715-356-8000,45.8941,-89.7018
Ascension,St. Vincent's Blount,150 Gilbreath Dr,,Oneonta,AL,35121,205-274-3000,33.932,-86.4943
Ascension,Ascension St. Michael's - Plover,2401 Plover Rd,,Plover,WI,54467,715-295-3800,44.4524,-89.5378
Ascension,Ascension Sacred Heart Walk-In Care at Walgreens - Nine Mile Road,2237 West 9 Mile Rd,,Pensacola,FL,32534,850-416-2337,30.5335,-87.3143
Ascension,Ascension Sacred Heart Walk-In Care at Walgreens - Ninth Avenue,6317 North 9th Ave,,Pensacola,FL,32504,850-416-2337,30.4889,-87.1964
Ascension,Ascension Sacred Heart Walk-In Care at Walgreens - Navarre,8220 Navarre Pkwy,,Navarre,FL,32566,850-416-2337,30.4023,-86.8792
Ascension,Ascension Koller Behavioral Health - Rhinelander,2251 North Shore Dr,,Rhinelander,WI,54501,715-361-2000,45.6396,-89.3745
Ascension,Ascension Providence Hospital Consultants in Cardiology,30055 Northwestern Hwy,,Farmington Hills,MI,48334,248-865-9898,42.506,-83.3214
Ascension,Ascension Via Christi Therapy Center,1 Med Center Cir Suite B,,Pittsburg,KS,66762,620-232-0178,37.3792,-94.6857
Ascension,Ascension Medical Group Dr. Rebecca Studinger,1021 Karl Greimel #99,,Brighton,MI,48116,248-662-4450,42.5408,-83.7967
Ascension,Ascension St. Joseph Hospital Specialty Clinic,295 Maple St,,Tawas City,MI,48763,989-362-0188,44.2761,-83.5093
Ascension,Autism Center of The Studer Family Children's Hospital at Sacred Heart,5154 Bayou Blvd,,Pensacola,FL,32503,850-416-4681,30.477,-87.214
Ascension,Ascension St. John Hospital Cancer Center Rochester,1901 Star-Batt Dr,,Rochester Hills,MI,48309,248-844-4000,42.6471,-83.168
Ascension,Ascension Macomb-Oakland Hospital Motor City Internists,11885 Twelve Mile Rd,,Warren,MI,48093,586-582-6630,42.5075,-83.0041
Ascension,Ascension St. John Hospital Premier Family Physicians,24100 Little Mack Ave,,Saint Clair Shores,MI,48080,586-443-4063,42.4723,-82.9065
Ascension,Ascension Genesys Hospital Health Equipment at S Saginaw,8220 South Saginaw St,,Grand Blanc,MI,48439,810-694-4391,42.9112,-83.6105
Ascension,Ascension Medical Group Great Lakes OB/Gyn,30051 Schoenherr Rd,,Warren,MI,48088,586-558-4848,42.5154,-82.9886
Ascension,Ascension Borgess Hospital - The Surgical Group,1535 Gull Road Suite 020,,Kalamazoo,MI,49048,269-381-4577,42.3069,-85.5611
Ascension,Saint Thomas Medical Partners â€“ Howell Allen Clinic â€“ Neurosurgery â€“ Midtown,2011 Murphy Ave #301,,Nashville,TN,37203,615-327-9543,36.1552,-86.8034
Ascension,Saint Thomas Medical Partners â€“ Howell Allen Clinic â€“ Neurosurgery â€“ Gallatin,100 Physician's Way #330,,Lebanon,TN,37090,615-327-9543,36.178,-86.3268
Ascension,Saint Thomas Medical Partners â€“ Howell Allen Clinic â€“ Neurosurgery â€“ West,4230 Harding Pike #810,,Nashville,TN,37205,615-327-9543,36.1296,-86.8446
Ascension,Howell Allen Clinic - Neurosurgery - Hendersonville,114 Saundersville Rd,,Hendersonville,TN,37075,615-327-9543,36.178,-86.3268
Ascension,Saint Thomas Medical Partners â€“ Howell Allen Clinic â€“ Neurosurgery â€“ Antioch,3754 Murfreesboro Pike,,Antioch,TN,37013,615-327-9543,36.5725,-87.2868
Ascension,Saint Thomas Medical Partners - Howell Allen Clinic - Neurosurgery - Lawrenceburg,2121 N. Locust Avenue #6,,Lawrenceburg,TN,38464,615-849-8004,36.1523,-86.8018
Ascension,Saint Thomas Medical Partners â€“ Howell Allen Clinic â€“ Neurosurgery â€“ Cookeville,120 Walnut Commons Ln Suite C,,Cookeville,TN,38501,615-327-9543,36.1427,-85.5133
Ascension,Saint Thomas Medical Partners â€“ Howell Allen Clinic â€“ Neurosurgery â€“ Dickson,758 Tennessee 46,,Dickson,TN,37055,615-327-9543,36.0499,-87.3648
Ascension,Saint Thomas Medical Partners â€“ Howell Allen Clinic â€“ Neurosurgery â€“ Lebanon,110 Saint Blaise Rd,,Gallatin,TN,37066,615-327-9543,36.3563,-86.5041
Ascension,Saint Thomas Medical Partners - Howell Allen Clinic - Neurosurgery - Clarksville,787 Weatherly Dr #200,,Clarksville,TN,37043,615-327-9543,36.5725,-87.2868
Ascension,Saint Thomas Medical Partners â€“ Howell Allen Clinic â€“ Neurosurgery â€“ Manchester,1615 McMinnville Hwy,,Manchester,TN,37355,615-849-8004,36.178,-86.3268
Ascension,Saint Thomas Medical Partners - Howell Allen Clinic - Neurosurgery - Columbia,1040 N James Campbell Blvd #101,,Columbia,TN,38401,615-327-9543,36.5725,-87.2868
Ascension,Saint Thomas Medical Partners â€“ Howell Allen Clinic â€“ Neurosurgery â€“ Mt. Juliet,108 Providence Trail,,Mt. Juliet,TN,37122,615-327-9543,35.86,-86.4262
Ascension,Ascension Sacred Heart Maternity and Women's Center,5153 North 9th Ave,,Pensacola,FL,32504,850-416-6378,30.477,-87.2121
Ascension,Ascension Sacred Heart Regional Perinatal Center at Pensacola,5153 North 9th Ave #201,,Pensacola,FL,32504,850-416-2477,30.4764,-87.2125
Ascension,Ascension Sacred Heart Hospital Pensacola,5151 North 9th Ave,,Pensacola,FL,32504,850-416-7000,30.4753,-87.2123
Ascension,Ascension Via Christi Hospital in Pittsburg - Mammography,1 Med Center Cir Suite B,,Pittsburg,KS,66762,620-232-0178,37.3792,-94.6857
Ascension,Ascension Via Christi Imaging at St. Joseph - Mammography,3600 East Harry St.,,Wichita,KS,67218,316-858-4090,37.6981,-97.3339
Ascension,Ascension Via Christi Imaging in Manhattan - Mammography,1133 College Ave #110,,Manhattan,KS,66502,785-565-4707,37.6981,-97.3339
Ascension,Ascension Via Christi Cancer Center,817 North Emporia Ave,,Wichita,KS,67214,316-268-5927,37.6981,-97.3339
Ascension,Ascension Via Christi Imaging at St. Teresa - Mammography,14700 Saint Teresa St #150,,Wichita,KS,67235,316-274-8532,37.6981,-97.3339
Ascension,Ascension Sacred Heart Medical Park at Airport Boulevard,1549 Airport Blvd,,Pensacola,FL,32504,850-416-1200,30.4812,-87.2111
Ascension,Ascension Sacred Heart Pensacola Diagnostic Center,5147 North 9th Ave #1100,,Pensacola,FL,32504,850-416-6501,30.4756,-87.2133
Ascension,Ascension Borgess Allegan Hospital - Behavioral Health,551 Linn Street Suite 230,,Allegan,MI,49010,269-686-4110,42.5197,-85.8562
Ascension,Ascension Medical Group Via Christi on Murdock - Mammography,3311 East Murdock Street,,Wichita,KS,67208,316-274-8532,37.6981,-97.3339
Ascension,Ascension Medical Group Via Christi on Foundersâ€™ Circle - Mammography,947 N. Founders' Circle,,Wichita,KS,67206,316-274-8532,37.6981,-97.3339
Ascension,Ascension Medical Group - St. Vincent - Michigan Road Walk-in Care,10801 North Michigan Rd #100,,Zionsville,IN,46077,317-344-1269,39.9442,-86.2372
Ascension,Ascension Medical Group - St. Vincent Michigan Road Family Medicine,10801 North Michigan Rd #100,,Zionsville,IN,46077,317-344-1234,39.9442,-86.2372
Ascension,Ascension Seton Physical Therapy & Fitness Center,499 Old Austin Hwy,,Bastrop,TX,78602,512-304-0331,30.111,-97.3323
Ascension,Ascension Medical Group St. Vincent's Cardiology - Fernandina,1699 South 14th St #9,,Fernandina Beach,FL,32034,904-206-5000,30.649,-81.4553
Ascension,Dell Childrenâ€™s Heart Transplant Program,4900 Mueller Blvd. Suite 3S.003,,Austin,TX,78723,855-324-0091,30.3035,-97.7074
Ascension,Consolidated Laboratory Services at Ponte Vedra,130 Professional Dr,,Ponte Vedra Beach,FL,32082,904-247-7549,30.2498,-81.389
Ascension,Consolidated Laboratory Services at 3 Shircliff Way,3 Shircliff Way #104,,Jacksonville,FL,32204,904-308-8029,30.3086,-81.6903
Ascension,Ascension NE Wisconsin - St. Elizabeth Campus Cancer Center,1506 South Oneida St.,,Appleton,WI,54915,920-831-8900,44.2485,-88.4027
Ascension,Sherman Cancer Center â€’ Ascension SE Wisconsin Hospital â€“ Elmbrook Campus,19333 West North Ave,,Brookfield,WI,53045,262-780-4111,43.0593,-88.1547
Ascension,Ascension Medical Group - St. Vincent - Elberfeld Primary Care,110 Sycamore St,,Elberfeld,IN,47613,812-983-4611,38.16,-87.4472
Ascension,Ascension Michigan at Work,1225 South Latson Rd.,,Howell,MI,48843,517-338-2370,42.583,-83.8729
Ascension,Ascension Medical Group - West Oklahoma,2025 West Oklahoma Ave #100,,Milwaukee,WI,53215,414-389-2790,42.9872,-87.9397
Ascension,Ascension Michigan at Work,1 Genesys Pkwy #1620,,Grand Blanc,MI,48439,810-606-5957,42.8924,-83.6421
Ascension,Reiman Cancer Center â€“ Ascension St. Francis,7410 West Rawson Ave,,Franklin,WI,53132,414-427-2360,42.9173,-88.0076
Ascension,Mammography - Seton Imaging: Catonsville,6501 Baltimore National Pike D,,Catonsville,MD,21228,667-234-8675,39.2835,-76.762
Ascension,Saint Agnes Medical Group: Catonsville,6501 Baltimore National Pike D,,Catonsville,MD,21228,667-234-2100,39.2835,-76.762
Ascension,Ascension SE Wisconsin Hospital â€“ Mayfair Road Cancer Care,201 North Mayfair Rd #300,,Wauwatosa,WI,53226,414-256-1940,43.0328,-88.0483
Ascension,Polly and Bill Van Dyke Cancer Center ï¼ Ascension Columbia St. Maryâ€™s Hospital Milwaukee,2350 N. Lake Drive,,Milwaukee,WI,53211,414-298-7250,43.0614,-87.8787
Ascension,Michael D. Wachtel Cancer Center - Ascension NE Wisconsin - Mercy Campus,2700 W. Ninth Avenue Suite 213,,Oshkosh,WI,54904,920-831-8900,44.0128,-88.6007
Ascension,Ascension Medical Group Sacred Heart OB/GYN at Pensacola,5153 North 9th Ave #205,,Pensacola,FL,32504,850-416-2550,30.477,-87.2115
Ascension,Ascension All Saints Hospital Cancer Center,3809 Spring St,,Racine,WI,53405,262-687-5000,42.7317,-87.8266
Ascension,Seton Heart Institute Women's Heart Center,1301 West 38th St #107,,Austin,TX,78705,512-324-3440,30.3053,-97.7467
Ascension,Seton Heart Institute - Ascension Seton Williamson Medical Plaza I,301 Seton Pkwy #302,,Round Rock,TX,78665,512-324-4812,30.5658,-97.6494
Ascension,Ascension NE Wisconsin - St. Elizabeth Campus,1506 South Oneida St,,Appleton,WI,54915,920-738-2000,44.2485,-88.4027
Ascension,Ascension Columbia St. Mary's Hospital Milwaukee,2301 North Lake Dr,,Milwaukee,WI,53211,414-585-1000,43.0612,-87.8806
Ascension,Ascension St. Francis Hospital,3237 South 16th St,,Milwaukee,WI,53215,414-647-5000,42.9856,-87.9355
Ascension,Ascension SE Wisconsin Hospital - Elmbrook Campus,19333 West North Ave,,Brookfield,WI,53045,262-785-2000,43.0594,-88.1548
Ascension,Ascension Medical Group St. John Heart and Vascular Center Bartlesville,3460 Southeast Frank Phillips Blvd,,Bartlesville,OK,74006,918-332-3600,36.7511,-95.9396
Ascension,Saint Agnes Anticoagulation Clinic,900 South Caton Ave #72,,Baltimore,MD,21229,667-234-5838,39.2716,-76.6737
Ascension,Ascension Providence,6901 Medical Pkwy,,Waco,TX,76712,254-751-4000,31.5141,-97.2004
Ascension,Ascension Saint Thomas Hospital Midtown,2000 Church St,,Nashville,TN,37203,615-284-5555,36.1539,-86.8025
Ascension,Ascension Saint Thomas Heart - Ascension Saint Thomas West,4230 Harding Pike #330,,Nashville,TN,37205,615-269-4545,36.1296,-86.8446
Ascension,Ascension Saint Thomas River Park,1559 Sparta St,,McMinnville,TN,37110,931-815-4000,35.7001,-85.7428
Ascension,Ascension Saint Thomas Heart - Comprehensive Heart Failure Program West,4230 Harding Pike #450,,Nashville,TN,37205,615-222-3078,36.1296,-86.8446
Ascension,Ascension St. John Hospital,22101 Moross Rd,,Detroit,MI,48236,313-343-4000,42.4196,-82.9145
Ascension,Ascension Saint Thomas Heart - Saint Thomas Midtown,301 21st Avenue North #100,,Nashville,TN,37203,615-329-5144,36.1537,-86.8061
Ascension,Saint Thomas Heart - VAD and Transplant Center,4230 Harding Pike #530,,Nashville,TN,37205,615-222-5500,36.1296,-86.8446
Ascension,Ascension Saint Thomas Heart - Valve and Structural Heart Center West,4230 Harding Pike #530,,Nashville,TN,37205,855-789-2593,36.1296,-86.8446
Ascension,Ascension Medical Group St. John Heart Rhythm Services,1923 South Utica Ave 5th Floor,,Tulsa,OK,74104,918-748-7501,36.1336,-95.9656
Ascension,Ascension Medical Group St. John Cardiovascular & Thoracic Surgery,1923 South Utica Ave 5th Floor,,Tulsa,OK,74104,918-712-3366,36.1336,-95.9656
Ascension,Ascension Saint Thomas Heart - Hypertrophic Cardiomyopathy Clinic,4230 Harding Pike #450,,Nashville,TN,37205,615-222-4265,36.1296,-86.8446
Ascension,Ascension St. Vincent's Riverside Hospital,1 Shircliff Way,,Jacksonville,FL,32204,904-308-7300,30.3081,-81.6902
Ascension,Ascension Sacred Heart Regional Heart and Vascular Institute,5151 North 9th Ave,,Pensacola,FL,32504,850-416-2328,30.476,-87.213
Ascension,Ascension Medical Group St. Vincent's Vein Institute,2 Shircliff Way #205,,Jacksonville,FL,32204,904-308-8346,30.3072,-81.6897
Ascension,Ascension Seton Medical Center Austin,1201 West 38th St,,Austin,TX,78705,512-324-1000,30.3056,-97.7453
Ascension,Ascension St. Vincent's Health Center - Mandarin,10503 San Jose Blvd,,Jacksonville,FL,32257,904-450-6670,30.1868,-81.6273
Ascension,Ascension Seton Williamson,201 Seton Pkwy,,Round Rock,TX,78665,512-324-4000,30.5671,-97.6513
Ascension,Ascension Seton Hays,6001 Kyle Pkwy,,Kyle,TX,78640,512-504-5000,30.0084,-97.853
Ascension,Ascension Seton Northwest,11113 Research Blvd,,Austin,TX,78759,512-324-6000,30.4054,-97.7438
Ascension,Seton Heart Institute - Medical Park Tower,1301 West 38th St #405,,Austin,TX,78705,512-324-3440,30.3053,-97.7467
Ascension,Seton Heart Institute - Ascension Seton Hays Medical Office Building 1,1180 Seton Pkwy #450,,Kyle,TX,78640,512-504-0860,30.0098,-97.852
Ascension,Ascension Seton Heart - Seton Medical Center Hays,1180 Seton Pkwy #450,,Kyle,TX,78640,512-504-0860,30.0098,-97.852
Ascension,Ascension Sacred Heart Hospital Emerald Coast,7800 U.S. 98,,Miramar Beach,FL,32550,850-278-3000,30.3787,-86.307
Ascension,Providence Hospital,6801 Airport Blvd,,Mobile,AL,36608,251-633-1000,30.6789,-88.1988
Ascension,Seton Brain & Spine Institute Neurology at 1601 Trinity Street,1601 Trinity St Suite 704-F,,Austin,TX,78701,512-324-7867,30.2772,-97.735
Ascension,Seton Brain & Spine Institute Neurology,1600 West 38th St #308,,Austin,TX,78731,512-324-3540,30.3092,-97.7498
Ascension,Seton Brain & Spine Institute Neurology at 301 Seton Pkwy,301 Seton Pkwy #402,,Round Rock,TX,78665,512-324-3540,30.5658,-97.6494
Ascension,Ascension SE Wisconsin Hospital - Franklin Campus,10101 South 27th St,,Franklin,WI,53132,414-325-4700,42.86,-87.9542
Ascension,Seton Brain & Spine Institute Neurosurgery at 1180 Seton Parkway,1180 Seton Pkwy #150,,Kyle,TX,78640,512-324-3540,30.0098,-97.852
Ascension,Ascension St. Michael's Hospital,900 Illinois Ave,,Stevens Point,WI,54481,715-346-5000,44.5268,-89.5666
Ascension,Ascension Via Christi Emergency Department,401 Woodland Hills Blvd,,Fort Scott,KS,66701,620-223-7070,37.8064,-94.7101
Ascension,Ascension Via Christi Therapy Center in Derby,1640 Tall Tree Rd #200,,Derby,KS,67037,316-651-2380,37.571,-97.2466
Ascension,St. Vincent's One Nineteen,7191 Cahaba Valley Rd Building 1 Suite 106,,Birmingham,AL,35242,205-939-7100,33.4266,-86.6664
Ascension,Seton Heart Institute - Ascension Seton Burnet Specialty Clinics,200 County Road Building 1 Suite A,,Burnet,TX,78611,512-715-3032,30.7742,-98.2135
Ascension,Saint Thomas Medical Partners - Brentwood,791 Old Hickory Blvd,,Brentwood,TN,37027,629-888-5125,36.0399,-86.7797
Ascension,Emergency Department - Ascension Sacred Heart Bay,615 North Bonita Ave #ER,,Panama City,FL,32401,850-769-1511,30.1603,-85.6493
Ascension,Ascension Saint Thomas Heart - Parsons,526 Florida Ave,,Parsons,TN,38363,800-345-5016,35.6436,-88.1272
Ascension,Ascension Via Christi Hospital in Pittsburg,1 Mount Carmel Pl,,Pittsburg,KS,66762,620-231-6100,37.3804,-94.6845
Ascension,Ascension Via Christi Behavioral Health Center,3600 East Harry St,,Wichita,KS,67218,316-858-0333,37.6662,-97.2931
Ascension,Ascension Via Christi St. Francis,929 North Saint Francis,,Wichita,KS,67214,316-268-5000,37.6994,-97.3323
Ascension,Ascension Via Christi St. Joseph,3600 East Harry St,,Wichita,KS,67218,316-268-5000,37.6662,-97.2931
Ascension,Ascension Via Christi Hospital in Manhattan,1823 College Ave,,Manhattan,KS,66502,785-776-3322,39.2011,-96.5993
Ascension,Ascension Via Christi St. Teresa,14800 Saint Teresa St,,Wichita,KS,67235,316-796-7000,37.7257,-97.5133
Ascension,Ascension Via Christi Rehabilitation Hospital,1151 North Rock Rd,,Wichita,KS,67206,316-268-5000,37.7039,-97.246
Ascension,Ascension Saint Thomas Heart - Bellevue,5700 Temple Rd,,Nashville,TN,37221,800-345-5016,36.1925,-86.6185
Ascension,Ascension Saint Thomas Center for Sleep - Bellevue,5700 Temple Rd,,Nashville,TN,37221,629-208-6100,36.1925,-86.6185
Ascension,Saint Thomas Medical Partners - Gastroenterology - Bellevue,5700 Temple Rd,,Nashville,TN,37221,629-208-6100,36.1549,-86.8014
Ascension,Ascension Saint Thomas - Physical Therapy - Bellevue,5700 Temple Rd,,Nashville,TN,37221,629-208-6100,36.1925,-86.6185
Ascension,Polly and Bill Van Dyke Cancer Center ï¼ Ascension Columbia St. Maryâ€™s Hospital Ozaukee,13111 North Port Washington Rd,,Mequon,WI,53097,414-243-7454,43.2566,-87.9262
Ascension,Ascension Saint Thomas Hickman,135 East Swan St,,Centerville,TN,37033,931-729-6776,35.7795,-87.459
Ascension,Saint Thomas Medical Partners - Bellevue,5700 Temple Rd,,Nashville,TN,37221,629-208-6100,36.0477,-86.9527
Ascension,Ascension Sacred Heart - Crandon,400 West Glen St,,Crandon,WI,54520,715-478-6300,45.5726,-88.9094
Ascension,Ascension St. Michael's - Amherst,272 Christy St,,Amherst,WI,54406,715-824-5151,44.45,-89.2921
Ascension,Ascension Lourdes Pediatrics,303 Main St,,Binghamton,NY,13905,607-729-8687,42.1093,-75.9421
Ascension,Seton Family of Doctors Seton Surgical Group at 1601 Trinity Street,1601 Trinity St Suite 704 F,,Austin,TX,78712,512-324-7873,30.2772,-97.735
Ascension,Ascension Medical Group - St. Vincent - Ingram Family Medicine,1002 North Shelby St #1004,,Salem,IN,47167,812-883-9182,38.6147,-86.1083
Ascension,Ascension Lourdes Obstetrics and Gynecology,303 Main St,,Binghamton,NY,13905,607-584-4549,42.1093,-75.9421
Ascension,Peyton Manning Children's- Salem Pediatrics,505 West Homer St #201,,Salem,IN,47167,812-883-8772,38.6142,-86.1068
Ascension,Ascension Medical Group - St. Vincent Boonville Walk-in Care,3277 Liberty Blvd,,Boonville,IN,47601,812-897-8500,38.0487,-87.3091
Ascension,Ascension Medical Group - St. Vincent - Boonville Primary Care,1116 Millis Ave,,Boonville,IN,47601,812-897-7107,38.0418,-87.2629
Ascension,Ascension St. Vincent Mercy Hospital - Mammography,1331 South A Street,,Elwood,IN,46036,765-552-4941,39.6302,-86.0704
Ascension,Ascension St. Vincent Clay - Mammography,1206 E. National Ave,,Brazil,IN,47834,812-485-6020,40.094,-85.6821
Ascension,Ascension St. Vincent Greenwood - Imaging,1300 Innovation Parkway Suite 150,,Greenwood,IN,46143,317-879-4805,39.6302,-86.0704
Ascension,Ascension Medical Group - St. Vincent - Anderson Family Medicine,141 West 22nd St #311,,Anderson,IN,46016,765-641-7100,40.094,-85.6821
Ascension,Ascension St. Vincent Evansville Breast Center - Mammography,100 St. Mary's Epworth Crossing #A500,,Newburgh,IN,47630,812-485-4437,40.094,-85.6821
Ascension,Ascension Medical Group Physical Therapy and Women's Health,13450 North Meridian St #280,,Carmel,IN,46032,317-582-8170,39.9826,-86.1454
Ascension,Ascension Medical Group - St. Vincent  - Avon Heart Care,9723 East US Highway 36,,Avon,IN,46123,317-456-1800,39.7635,-86.3505
Tenet Health,Hackensack Endoscopy Center,170 Prospect St Ste 10,,Hackensack,NJ,7601,201-498-0030,,
Tenet Health,Vanguard Surgical Center,113 Essex Street,,Maywood,NJ,7607,201-291-9100,,
Tenet Health,Metropolitan Surgery Center,433 Hackensack Ave Ste LL01,,Hackensack,NJ,7601,201-527-6800,,
Tenet Health,Suburban Endoscopy Center,799 Bloomfield Ave Ste 101,,Verona,NJ,7044,973-571-1600,,
Tenet Health,Endoscopy Center of Bergen County,80 Eisenhower Dr Ste 100,,Paramus,NJ,7652,201-336-1100,,
Tenet Health,Shrewsbury Surgery Center,655 Shrewsbury Ave,,Shrewsbury,NJ,7702,732-450-6000,,
Tenet Health,Denville Surgical Center,3130 State Route 10 Ste 200,,Denville,NJ,7834,973-328-3475,,
Tenet Health,Central Jersey Surgery Center,97 Corbett Way,,Eatontown,NJ,7724,732-460-2777,,
Tenet Health,Northern Monmouth Regional Surgery Center,195 US Highway 9 Ste 210,,Manalapan,NJ,7726,732-358-6500,,
Tenet Health,Somerset Ambulatory Surgical Center,1 Rte 206 N,,Somerville,NJ,8876,908-393-8360,,
Tenet Health,Surgical Specialists at Princeton,136 Main St,,Princeton,NJ,8540,609-799-1130,,
Tenet Health,Jackson Surgery Center,27 S COOKS BRIDGE RDSTE L2,,JACKSON,NJ,8527,732-928-1099,,
Tenet Health,Lakewood Surgery Center,1215 Highway 70 Ste 2000,,Lakewood,NJ,8701,732-719-1800,,
Tenet Health,Shore Outpatient Surgicenter,360 Highway 70,,Lakewood,NJ,8701,732-942-9835,,
Tenet Health,Toms River Surgery Center,1430 Hooper Ave Ste 301,,Toms River,NJ,8753,732-240-2277,,
Tenet Health,Berkshire Eye Surgery Center,2220 Ridgewood Rd,,Wyomissing,PA,19610,610-736-0144,,
Tenet Health,Suburban Endoscopy Center,799 Bloomfield Ave Ste 101,,Verona,NJ,7044,973-571-1600,,
Tenet Health,Vanguard Surgical Center,113 Essex Street,,Maywood,NJ,7607,201-291-9100,,
Tenet Health,Durango Outpatient Surgery Center,8530 W Sunset Rd Ste 100,,Las Vegas,NV,89113,702-789-5700,,
Tenet Health,Hackensack Endoscopy Center,170 Prospect St Ste 10,,Hackensack,NJ,7601,201-498-0030,,
Tenet Health,Millennium Surgical Center,2090 Springdale Rd Ste A,,Cherry Hill,NJ,8003,856-751-4555,,
Tenet Health,Surgical Institute of Reading,2752 Century Blvd,,Wyomissing,PA,19610,610-378-8800,,
Tenet Health,Denville Surgical Center,3130 State Route 10 Ste 200,,Denville,NJ,7834,973-328-3475,,
Tenet Health,Endoscopy Center of Bergen County,80 Eisenhower Dr Ste 100,,Paramus,NJ,7652,201-336-1100,,
Tenet Health,Suburban Endoscopy Center,799 Bloomfield Ave Ste 101,,Verona,NJ,7044,973-571-1600,,
Tenet Health,Denville Surgical Center,3130 State Route 10 Ste 200,,Denville,NJ,7834,973-328-3475,,
Tenet Health,Shrewsbury Surgery Center,655 Shrewsbury Ave,,Shrewsbury,NJ,7702,732-450-6000,,
Tenet Health,Central Jersey Surgery Center,97 Corbett Way,,Eatontown,NJ,7724,732-460-2777,,
Tenet Health,Northern Monmouth Regional Surgery Center,195 US Highway 9 Ste 210,,Manalapan,NJ,7726,732-358-6500,,
Tenet Health,Somerset Ambulatory Surgical Center,1 Rte 206 N,,Somerville,NJ,8876,908-393-8360,,
Tenet Health,Surgical Specialists at Princeton,136 Main St,,Princeton,NJ,8540,609-799-1130,,
Tenet Health,Jackson Surgery Center,27 S COOKS BRIDGE RDSTE L2,,JACKSON,NJ,8527,732-928-1099,,
Tenet Health,Lakewood Surgery Center,1215 Highway 70 Ste 2000,,Lakewood,NJ,8701,732-719-1800,,
Tenet Health,Shore Outpatient Surgicenter,360 Highway 70,,Lakewood,NJ,8701,732-942-9835,,
Tenet Health,Toms River Surgery Center,1430 Hooper Ave Ste 301,,Toms River,NJ,8753,732-240-2277,,
Tenet Health,Berkshire Eye Surgery Center,2220 Ridgewood Rd,,Wyomissing,PA,19610,610-736-0144,,
Tenet Health,Baylor Surgicare at Fort Worth,750 12th Avenueï¿½,,Fort Worth,TX,76104,817-334-5100,,
Tenet Health,Baylor Surgical Hospital at Fort Worth,1800 Park Place Ave,,Fort Worth,TX,76110,682-703-5600,,
Tenet Health,Baylor Surgicare at Oakmont,7200 Oakmont Blvd,,Fort Worth,TX,76132,817-732-3300,,
