GlobalUltimate_Name,Headquarters_Name,BusinessName,Physical_Adr1,Physical_Adr2,Physical_City,Physical_State,Physical_Zip,Physical_Zip4,Country,Telephone
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Doctors Medical Center Neurosciences Clinical Co-Management, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"East Atlanta Endoscopy Centers, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"East Cooper Hyperbarics, L.L.C.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"East Cooper Primary Care Physicians, L.L.C.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Encinitas Endoscopy Center, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Endoscopy Center of South Sacramento, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Epic Asc, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Eye Center of Nashville Uap, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"FMC Medical, Inc.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Fmcc Network Contracting, L.L.C.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Fort Bend Clinical Services, Inc.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Fort Worth Hospital Real Estate, LP",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Fountain Valley Surgery Center, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,Fpn ' Frisco Physicians Network,1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,Boone L Fryecare L C,1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Georgia Gifts From Grace, L.L.C.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Georgia North Fulton Healthcare Associates, L.L.C.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Georgia Physicians of Cardiology, L.L.C.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Georgia Spectrum Neurosurgical Specialists, L.L.C.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Good Samaritan Cardiac & Vascular Management, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Graystone Family Healthcare - Tenet North Carolina, L.L.C.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Adventhealth Surgery Center Celebration, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Adventhealth Surgery Centers Central Florida, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Adventist Midwest Health/USP Surgery Centers, L.L.C.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Ahm Acquisition Co., Inc.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Aigb Group, Inc.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Aigb Management Services, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Alabama Cardiovascular Associates, L.L.C.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Alabama Hand and Sports Medicine, L.L.C.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"All Star Mob, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Alliance Surgery Birmingham, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,Ameripath Pat 5.01,500 Plaza Dr Ste G,,Secaucus,NJ,07094,3656,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"AMI Information Systems Group, Inc.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Amisub (twelve Oaks), Inc.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Amisub (hilton Head), Inc.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Anaheim Hills Medical Imaging, L.L.C.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Anaheim Mri Holding, Inc.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Anesthesia Partners of Gallatin, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Arizona Care Network ' Next, L.L.C.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Arrowhead Endoscopy and Pain Management Center, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Asia Outsourcing Us, Inc.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Asjh Joint Venture, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Atlanta Medical Center Interventional Neurology Associates, L.L.C.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Atlanta Medical Center Physician Group, L.L.C.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Atlantic Health-USP Surgery Centers, L.L.C.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Avita/USP Surgery Centers, L.L.C.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Baptist Diagnostics, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Baptist Accountable Care, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"BBH Cbmc, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"BBH NP Clinicians, Inc.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Bcdc Employeeco, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Berkshire Eye, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Bhc-Talladega Pediatrics, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Bhs Accountable Care, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Bhs Affinity, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Bhs Integrated Physician Partners, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Bloomington Asc, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Bluffton Okatie Surgery Center, L.L.C.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Bon Secours Surgery Center At Harbour View, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Bozeman Health/USP Surgery Centers, L.L.C.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Brookwood Ancillary Holdings, Inc.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Brookwood Diagnostic Imaging Center, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Brookwood Baptist Imaging, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,2057256900
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Brookwood Occupational Health Clinic, L.L.C.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Brookwood Parking Associates, Ltd.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Brookwood Primary Care - Inverness, L.L.C.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Brookwood Specialty Care - Endocrinology, L.L.C.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Brookwood Primary Care - Mountain Brook, L.L.C.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Brookwood Primary Care Cahaba Heights, L.L.C.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Bw Sports Practice, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"California Joint & Spine, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Cardiovascular Clinical Excellence At Sierra Providence, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Carespot of Memphis, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Carespot of Orlando/Hsi Urgent Care, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Castle Rock Surgery Center, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Central Carolina-Ima, L.L.C.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Central Carolina Physicians - Sandhills, L.L.C.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Central Jersey Surgery Center, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Chandler Endoscopy Ambulatory Surgery Center, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Chattanooga Pain Management Center, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Chesterfield Anesthesia Associates of Missouri, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Chic/USP Surgery Centers, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Children's Hospital of Michigan Premier Network, Inc.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Chvi Tucson Holdings, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Coastal Carolina Physician Practices, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,Coastal Endo LLC,1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Coastal Carolina Pro Fee Billing, L.L.C.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Hacienda Outpatient Surgery Center, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Hardeeville Medical Group, L.L.C.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Harper-Hutzel AHP Services, Inc.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Hazelwood Endoscopy Center, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Hcn Emerus Management Sub, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Hcn Emerus Texas, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Hcn Physicians, Inc.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Hcn Surgery Center Holdings, Inc.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Health Horizons of Kansas City, Inc.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Health Horizons/Piedmont Joint Venture, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Health Horizons of Murfreesboro, Inc.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Healthcare Network North Carolina, Inc.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Healthcare Network South Carolina, Inc.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Hialeah Real Properties, Inc.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Hickory Family Practice Associates - Tenet North Carolina, L.L.C.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Hilton Head Regional Physician Network ' Georgia, L.L.C.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Hma/Solantic Joint Venture, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Hmhp/USP Surgery Centers, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Hnmc, Inc.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Hnw Gp, Inc.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Hoover Land, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Houston Northwest Partners, Ltd.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Houston Sunrise Investors, Inc.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Hss Palm Beach Ambulatory Surgery Center, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Hsrm International, Inc.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Hss/USP Surgery Center, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Humc/USP Surgery Centers, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Icnu Rockford, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Informed Insurance Services, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,"Isabella Street Urban Renewal, LLC",500 Plaza Dr Ste G,,Secaucus,NJ,07094,3656,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Jacksonville Endoscopy Centers, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Jfp Uap Sugarland, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Lake Surgical Hospital Slidell, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Legacy/USP Surgery Centers, L.L.C.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Lubbock ASC Holding Co, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Mayfield Spine Surgery Center, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"McSh Real Estate Investors, Ltd.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Medical House Staffing, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Medplex Outpatient Medical Centers, Inc.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Memorial Hermann Bay Area Endoscopy Center, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Memorial Hermann Endoscopy & Surgery Center North Houston, L.L.C.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Memorial Hermann Surgery Center ' The Woodlands, LLP",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Memorial Hermann Surgery Center Sugar Land, LLP",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Memorial Hermann Surgery Center Preston Road, Ltd.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Memorial Hermann Texas International Endoscopy Center, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Mercy/USP Health Ventures, L.L.C.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Metropolitan New Jersey, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Metrowest Accountable Health Care Organization, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Mh Memorial City Surgery, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Mh/USP North Freeway, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Mh/USP Bay Area, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Michigan ASC Partners, L.L.C.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Michigan Pioneer Aco, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Michigan Regional Imaging, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Midland Memorial/Usp Surgery Centers, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Mid-TSC Development, LP",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Midwest Digestive Health Center, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Mobile Imaging Management, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Msv Health/USP Surgery Centers, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Nacogdoches ASC-Lp, Inc.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,NAPA 5.01,500 Plaza Dr Ste G,,Secaucus,NJ,07094,3656,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"National Ancillary, Inc.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"National Icn, Inc.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"New England Physician Performance Network, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Nich GP Holdings, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Nmc Lessor, L.P.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Nme Psychiatric Hospitals, Inc.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Nme Rehabilitation Properties, Inc.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Quest Diagnostics Incorporated,Quest Diagnostics Incorporated,"Nomad Massachusetts, Inc.",500 Plaza Dr Ste G,,Secaucus,NJ,07094,3656,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"North Carolina Community Family Medicine, L.L.C.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"North Fulton Cardiovascular Medicine, L.L.C.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"North Fulton Hospitalist Group, L.L.C.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"North Fulton Primary Care - Willeo Rd., L.L.C.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"North Fulton Primary Care - Windward Parkway, L.L.C.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"North Fulton Pulmonary Specialists, L.L.C.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"North Shore Physician Practices, L.L.C.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Northshore/Usp Surgery Centers II, L.L.C.",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Novant Health/USP Surgery Centers, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Novant/Uva/Usp Surgery Centers, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
Tenet Healthcare Corporation,Tenet Healthcare Corporation,"Nuch of Connecticut, LLC",1445 Ross Ave Ste 1400,,Dallas,TX,75202,2703,USA,
